"지수종류별(1)",지수종류별(2),2005. 01,2005. 02,2005. 03,2005. 04,2005. 05,2005. 06,2005. 07,2005. 08,2005. 09,2005. 10,2005. 11,2005. 12,2006. 01,2006. 02,2006. 03,2006. 04,2006. 05,2006. 06,2006. 07,2006. 08,2006. 09,2006. 10,2006. 11,2006. 12,2007. 01,2007. 02,2007. 03,2007. 04,2007. 05,2007. 06,2007. 07,2007. 08,2007. 09,2007. 10,2007. 11,2007. 12,2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08,2008. 09,2008. 10,2008. 11,2008. 12,2009. 01,2009. 02,2009. 03,2009. 04,2009. 05,2009. 06,2009. 07,2009. 08,2009. 09,2009. 10,2009. 11,2009. 12,2010. 01,2010. 02,2010. 03,2010. 04,2010. 05,2010. 06,2010. 07,2010. 08,2010. 09,2010. 10,2010. 11,2010. 12,2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01
"KOSDAQ",소계,472.95,498.38,455.03,424.40,471.48,503.21,546.68,503.95,571.95,587.46,712.39,701.79,690.24,682.36,665.21,685.44,630.50,590.68,557.66,572.83,600.42,586.10,622.17,606.15,576.37,600.93,648.99,675.88,747.87,778.69,811.52,775.13,794.56,810.07,741.84,704.23,608.84,655.94,644.45,647.02,652.15,590.19,539.44,470.28,440.77,308.03,307.48,332.05,364.90,363.21,421.44,500.98,528.80,485.15,504.35,514.70,505.94,486.46,464.32,513.57,496.57,507.03,515.74,523.75,489.42,489.98,481.45,464.71,492.75,526.45,498.39,510.69,521.38,504.46,525.42,511.00,484.54,479.55,536.05,493.44,449.66,490.69,492.81,500.18,513.99,542.30,519.56,478.89,471.94,489.16,467.61,508.35,523.78,508.31,499.37,496.32,503.67,535.87,555.02,563.87,577.87,519.06,554.31,516.74,534.89,532.44,517.06,499.99,515.20,528.96,541.58,559.34,546.53,537.06,536.32,570.20,573.22,558.70,545.08,542.97,591.58,624.56,650.49,689.01,711.39,742.27,725.06,687.11,678.48,683.63,688.38,682.35,682.80,651.62,688.38,699.77,698.45,675.09,706.24,663.69,681.21,624.68,596.11,631.44,616.13,612.20,619.28,628.24,652.04,669.04,650.47,657.83,652.82,694.20,771.42,798.42,913.57,857.06,871.09,875.95,879.66,818.22,775.52,816.97,822.27,648.67,695.76,675.65,716.86,731.25,729.31,754.74,696.47,690.53,630.18,610.55,621.76,658.52,632.99,669.83,642.48
"KOSDAQ 150",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,922.07,928.29,957.81,985.47,939.54,943.44,918.99,889.81,963.37,1019.44,971.73,997.90,1037.72,999.69,1033.07,994.75,948.75,952.97,1070.39,987.90,916.17,983.80,973.91,965.62,966.47,988.15,943.42,864.72,873.73,882.80,841.13,922.68,925.14,893.42,876.85,880.20,883.56,944.37,973.03,962.25,980.29,886.36,961.94,874.70,917.72,910.62,885.35,855.88,884.82,896.99,903.93,933.77,900.98,885.49,877.17,944.48,954.34,920.41,896.82,894.44,965.87,1021.60,1050.12,1104.20,1129.76,1139.15,1163.36,1115.31,1068.35,1069.95,1102.28,1095.46,1128.24,1045.53,1073.68,1065.27,1068.73,1032.75,1058.00,997.90,1010.18,939.76,892.08,936.09,904.84,916.75,921.26,940.33,988.04,1031.51,1008.63,1034.49,1074.79,1196.86,1348.84,1413.80,1664.36,1535.30,1551.48,1495.09,1491.90,1391.83,1265.58,1376.46,1411.73,1124.49,1186.63,1166.25,1191.47,1235.26,1193.90,1207.56,1075.28,1012.74,939.73,891.39,894.36,1016.62,946.89,1029.57,958.52
"KOSDAQ IT",소계,784.51,804.33,726.18,661.85,737.13,767.53,837.94,783.07,871.35,888.16,1103.72,1142.16,1124.83,1093.60,1065.91,1111.49,1019.74,955.98,892.90,922.97,967.87,937.28,987.15,965.98,912.05,944.98,1009.07,1036.94,1114.81,1155.73,1192.72,1145.10,1182.67,1218.00,1118.21,1048.94,908.14,959.01,963.78,955.18,936.74,841.34,762.44,672.27,637.40,465.57,443.60,472.21,517.21,529.70,628.94,762.67,797.49,732.53,772.08,798.93,808.72,767.33,736.00,852.69,822.82,840.08,851.72,879.68,828.95,826.22,809.19,765.84,810.94,859.77,812.76,833.37,845.50,822.58,850.34,807.32,751.93,725.15,802.72,717.63,667.96,757.10,771.80,760.23,790.47,835.09,794.16,729.03,708.56,729.52,695.42,759.87,774.75,755.23,763.19,756.81,771.61,830.32,849.74,896.92,926.53,821.36,854.74,801.98,815.23,808.67,772.21,753.17,773.77,789.66,806.70,827.64,783.69,763.75,767.26,811.42,813.10,797.58,788.69,795.85,878.22,891.57,907.54,923.60,923.33,927.69,922.38,882.82,900.60,886.07,874.19,873.96,843.30,830.00,851.06,879.89,863.14,833.36,892.35,834.23,847.56,782.10,752.94,805.76,810.91,798.05,827.12,838.05,860.53,879.89,864.06,879.77,862.48,886.67,949.82,975.98,1012.85,972.33,967.83,977.73,992.10,920.49,913.95,937.45,892.85,744.99,776.30,739.20,800.28,822.27,820.35,862.42,827.33,852.85,791.26,781.37,804.68,818.78,787.84,840.18,816.19
"소속부별",KOSDAQ 우량기업부,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000.00,958.28,949.64,1045.41,961.90,869.42,932.87,933.04,921.24,955.51,986.75,948.32,874.26,877.36,887.10,849.17,926.48,952.31,933.67,927.39,939.94,943.55,1006.08,1040.18,1045.52,1067.66,982.80,1062.11,985.86,1023.81,1019.46,1000.43,973.00,999.88,1020.32,1038.35,1071.28,1044.77,1020.83,1012.40,1077.69,1077.46,1032.32,1013.66,1009.06,1070.09,1135.78,1148.89,1191.19,1198.73,1234.96,1219.45,1185.68,1149.44,1133.47,1140.39,1143.53,1145.03,1101.81,1133.42,1144.03,1136.86,1097.39,1147.59,1092.46,1108.27,1050.71,1010.37,1075.76,1066.04,1081.16,1098.00,1114.94,1163.68,1201.32,1169.56,1187.78,1196.74,1283.23,1376.94,1428.61,1634.31,1521.85,1544.06,1518.55,1544.59,1490.77,1433.30,1466.33,1441.37,1179.11,1265.30,1233.82,1297.88,1323.85,1317.05,1357.19,1241.37,1268.53,1159.54,1134.89,1179.27,1200.38,1161.02,1244.58,1216.69
"소속부별",KOSDAQ 벤처기업부,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000.00,939.99,931.78,1092.35,1026.23,948.96,1069.60,1083.32,1106.78,1113.33,1170.77,1105.30,1020.65,988.99,1046.95,992.23,1101.87,1129.37,1079.37,1052.79,1028.78,1053.09,1135.76,1184.00,1219.41,1245.38,1071.40,1135.00,1066.56,1120.28,1138.55,1088.12,1051.37,1073.08,1111.81,1147.56,1184.60,1159.27,1152.47,1175.60,1244.77,1300.83,1316.02,1250.47,1267.39,1445.01,1467.44,1555.59,1601.76,1733.70,1858.85,1736.13,1600.92,1607.48,1669.25,1715.43,1716.63,1727.99,1647.05,1765.56,1821.09,1816.52,1766.99,1861.94,1752.74,1835.09,1636.43,1558.67,1627.00,1532.30,1517.30,1538.28,1600.83,1636.87,1645.32,1637.29,1647.21,1547.86,1556.28,1725.76,1776.08,1961.47,1860.41,1924.96,1931.66,1841.54,1678.26,1620.41,1709.77,1732.47,1310.16,1421.51,1336.85,1454.95,1479.89,1486.54,1579.30,1539.42,1559.22,1408.76,1344.01,1362.09,1395.49,1359.06,1411.20,1382.78
"소속부별",KOSDAQ 중견기업부,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000.00,935.22,925.96,1030.96,934.95,856.14,939.13,947.42,1002.37,1029.53,1123.97,1086.38,1003.61,965.10,1015.66,975.49,1042.14,1092.43,1062.91,1028.96,1003.47,1031.21,1078.22,1118.01,1146.40,1191.65,1049.51,1102.94,1035.42,1053.38,1026.84,988.50,945.31,991.58,1016.29,1048.95,1098.22,1081.14,1062.12,1062.82,1127.76,1126.31,1112.53,1090.57,1075.28,1194.55,1278.58,1391.56,1534.75,1604.14,1657.73,1635.46,1502.85,1547.66,1589.76,1566.68,1520.20,1492.38,1434.58,1521.48,1580.35,1598.57,1570.63,1662.54,1547.16,1615.02,1456.17,1368.95,1461.31,1428.32,1383.62,1394.48,1392.68,1442.12,1458.58,1382.07,1391.29,1353.02,1424.94,1633.59,1708.57,1969.14,1835.09,1838.14,1897.13,1894.48,1681.47,1561.58,1665.27,1713.64,1312.20,1398.79,1338.92,1456.80,1469.08,1457.51,1528.14,1434.33,1395.17,1263.45,1250.26,1307.40,1479.25,1394.74,1444.89,1366.91
"소속부별",KOSDAQ 기술성장기업부,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000.00,885.58,861.60,1051.84,1046.55,955.07,1089.00,1189.12,1139.64,1391.23,1576.22,1341.16,1226.01,1196.68,1259.21,1276.04,1530.44,1706.52,1702.01,1586.98,1538.25,1682.08,2033.25,2196.39,2476.38,2404.80,2042.39,2182.16,1975.87,2022.55,2264.25,2253.25,2096.96,2340.71,2691.58,2719.36,2747.44,2620.64,2679.36,2723.02,3031.33,2919.78,2876.58,2748.86,2707.89,3306.56,3440.12,3692.80,4605.39,5427.41,6596.53,6158.31,5349.46,4850.21,4964.44,5447.97,5474.32,6177.91,5301.79,5667.79,5375.92,5552.63,5653.78,5605.06,4997.99,4954.06,3937.00,3925.82,4042.85,3692.40,3558.22,3546.71,3581.80,3752.60,4206.65,4036.28,4210.14,4714.24,5770.03,7467.03,7416.77,9082.08,8665.95,9257.05,8786.46,8750.51,7972.84,6785.01,8165.79,9192.46,6732.18,7116.99,7335.11,7419.47,7787.52,7835.80,7734.06,6656.90,5759.14,5332.12,4682.91,3904.68,4569.81,4409.15,4887.87,4229.34
"시가총액규모별",코스닥 대형주,944.82,980.30,915.90,845.11,931.13,972.19,1025.96,981.86,1116.35,1090.77,1321.54,1344.13,1344.43,1320.88,1309.39,1376.25,1303.15,1243.61,1169.23,1193.44,1246.61,1215.17,1298.34,1290.57,1207.55,1264.74,1336.61,1408.88,1569.31,1628.80,1691.00,1632.95,1735.07,1917.22,1772.42,1666.40,1422.66,1523.50,1524.51,1535.75,1554.10,1388.50,1252.55,1104.34,1051.90,766.49,764.98,828.16,919.73,894.18,1038.13,1201.99,1266.24,1131.42,1159.01,1190.76,1193.80,1164.90,1127.99,1217.76,1153.47,1165.35,1197.64,1231.50,1169.15,1181.57,1156.77,1116.12,1214.93,1286.21,1234.10,1247.38,1273.22,1220.94,1279.26,1237.64,1189.67,1190.35,1334.19,1233.05,1141.00,1214.31,1189.44,1172.06,1194.59,1216.49,1168.85,1081.22,1095.32,1112.95,1055.77,1152.44,1164.02,1128.92,1107.99,1122.63,1121.95,1196.43,1233.39,1221.87,1241.57,1140.95,1246.85,1140.42,1190.05,1177.10,1151.60,1117.89,1154.52,1170.39,1174.90,1218.18,1191.55,1178.65,1177.78,1270.03,1272.36,1229.96,1196.63,1187.82,1271.34,1330.85,1371.69,1449.91,1482.97,1564.38,1540.75,1506.02,1432.78,1426.22,1458.80,1448.45,1477.22,1373.94,1418.22,1402.02,1402.97,1321.16,1344.89,1258.99,1275.41,1191.89,1137.53,1194.60,1166.99,1194.28,1205.31,1227.69,1292.46,1343.05,1314.12,1346.10,1388.01,1522.28,1665.39,1753.20,2040.82,1869.56,1922.33,1867.29,1900.77,1806.40,1664.99,1799.25,1833.22,1474.92,1570.19,1526.66,1557.47,1620.49,1564.87,1583.50,1411.33,1349.80,1262.23,1206.03,1221.24,1371.29,1272.26,1371.39,1284.25
"시가총액규모별",코스닥 중형주,604.38,637.45,578.44,540.45,613.97,665.55,739.52,654.89,739.50,785.07,939.56,905.72,881.77,869.84,829.99,829.43,733.94,677.46,639.14,671.63,697.84,676.12,716.35,679.06,631.26,642.47,696.09,713.49,790.57,841.77,892.94,833.93,838.88,798.74,718.15,704.61,601.65,650.34,624.42,621.15,626.67,571.71,527.84,456.04,422.82,284.37,290.47,315.69,347.70,351.15,411.35,502.89,530.28,498.26,518.58,530.69,514.38,490.59,463.10,527.59,515.03,530.73,537.54,547.56,511.14,507.27,492.52,480.72,504.86,542.95,506.67,530.53,544.56,528.05,544.72,538.49,503.58,491.81,550.57,514.16,469.15,531.51,549.71,576.05,582.72,622.00,587.84,531.75,514.42,541.95,519.40,568.25,594.17,582.07,579.95,564.41,575.44,608.78,631.79,658.66,674.40,594.12,618.70,581.15,598.72,600.77,582.30,561.34,570.98,590.19,607.72,619.86,605.27,591.74,587.60,621.47,625.32,617.51,601.66,601.22,654.76,692.37,725.59,758.28,785.16,809.47,777.21,717.75,723.49,720.30,713.40,702.95,688.06,679.57,705.09,726.98,722.55,711.20,746.86,698.71,705.88,642.27,610.36,648.31,631.76,620.14,622.83,639.05,659.74,671.82,648.03,656.71,627.17,645.17,708.37,723.48,800.97,762.09,776.52,795.15,780.29,713.79,698.09,724.43,714.26,554.96,595.70,578.45,629.74,642.74,648.42,681.38,647.93,658.58,588.97,575.75,591.53,602.53,589.33,625.84,607.36
"시가총액규모별",코스닥 소형주,845.72,928.07,826.41,803.52,908.78,1033.10,1238.26,1121.87,1245.99,1417.89,1718.52,1701.64,1671.70,1690.92,1686.14,1736.43,1574.26,1453.63,1388.68,1378.36,1480.21,1466.75,1549.28,1518.50,1548.48,1605.14,1795.90,1875.35,2054.55,2098.89,2153.15,2109.75,2075.85,1937.83,1772.91,1669.85,1507.27,1629.06,1544.16,1540.14,1546.61,1440.75,1346.10,1157.92,1058.26,709.22,692.57,739.52,786.95,798.25,910.05,1113.02,1178.12,1130.33,1213.77,1223.84,1195.34,1134.14,1062.00,1171.41,1153.60,1196.58,1204.50,1191.54,1089.83,1086.48,1104.97,1058.04,1066.30,1135.06,1074.87,1100.11,1129.29,1085.21,1124.84,1086.52,1022.91,1018.44,1133.27,1038.18,912.72,1010.32,1029.07,1081.31,1139.05,1265.95,1231.98,1163.68,1104.46,1172.33,1141.95,1214.78,1278.84,1232.70,1189.05,1170.80,1220.24,1303.34,1356.61,1401.54,1469.64,1297.71,1367.21,1321.62,1355.40,1346.67,1283.19,1227.59,1274.57,1317.04,1392.93,1451.53,1425.07,1391.29,1408.88,1467.88,1480.66,1451.08,1423.97,1416.81,1560.38,1717.43,1812.54,1954.52,2059.73,2139.29,2122.98,1979.48,2114.22,2249.90,2259.42,2229.58,2144.48,2127.88,2416.44,2546.13,2525.70,2503.90,2730.87,2613.59,2748.75,2491.88,2422.86,2562.00,2513.40,2411.81,2466.89,2455.32,2499.25,2516.99,2439.42,2436.67,2287.41,2324.06,2451.03,2435.42,2780.95,2686.07,2730.52,2874.99,2878.71,2630.67,2546.58,2608.79,2607.05,2037.15,2226.18,2147.72,2393.29,2349.81,2372.61,2504.06,2360.79,2443.94,2218.16,2184.95,2230.60,2274.10,2251.82,2298.25,2259.70
